id,start_time,end_time,cost,age,promoters,flyers,artists,pick,attending
1344202.0,23:00,05:00,,19+,"[['967', 'fabric'], ['76188', 'Forms']]","['2019/12/uk-1227-1344202-1548508-front.jpg', '2019/12/uk-1227-1344202-1548508-back.jpg']","[['janblomqvist', 'Jan Blomqvist'], ['oliverschories', 'Oliver Schories'], ['sinal', 'Sinàl']]",False,405
1319283.0,22:00,07:00,,19+,"[['967', 'fabric'], ['29465', 'Garage Nation']]",['2019/12/uk-1221-1319283-1509185-front.jpg'],"[['norrisdabosswindross', 'Norris Da Boss Windross'], ['djcartier', 'DJ Cartier'], ['scottgarcia', 'Scott Garcia'], ['mikedelinquent', 'Mike Delinquent'], ['mcdt', 'MC DT'], ['samsupplier', 'Sam Supplier'], ['sheninamara', 'Shenin Amara'], ['kirkpaten', 'Kirk Paten'], ['marcus-nasty', 'Marcus Nasty']]",False,320
1344199.0,23:00,05:00,,19+,"[['967', 'fabric'], ['76188', 'Forms']]","['2019/12/uk-1220-1344199-front.jpg', '2019/12/uk-1220-1344199-back.jpg']","[['romare', 'Romare'], ['sessionvictim', 'Session Victim'], ['tsha', 'TSHA']]",False,370
1316116.0,23:00,07:00,,19+,"[['967', 'fabric'], ['73867', 'fabric (Saturdays)']]","['2019/12/uk-1214-1316116-1520226-front.jpg', '2019/12/uk-1214-1316116-1520226-back.jpg']","[['charlottedewitte-be', 'Charlotte de Witte'], ['999999999', '999999999'], ['amotik', 'Amotik'], ['anastasiakristensen', 'Anastasia Kristensen'], ['matrixxman', 'Matrixxman'], ['onyvaa-fr', 'ONYVAA']]",False,1090
1293297.0,23:00,06:00,,19+,"[['967', 'fabric'], ['28605', 'JR Events'], ['68697', 'FABRICLIVE']]","['2019/12/uk-1213-1293297-1521445-front.jpg', '2019/12/uk-1213-1293297-1521445-back.jpg']","[['mala', 'Mala'], ['commodo', 'Commodo'], ['egoless', 'Egoless'], ['dubkasm', 'Dubkasm'], ['compa', 'Compa'], ['samba', 'Samba'], ['mungoshifi', ""Mungo's Hi Fi""], ['irationsteppas', 'Iration Steppas'], ['evalazarus', 'Eva Lazarus']]",False,643
1316113.0,23:00,08:00,,19+,"[['967', 'fabric'], ['73867', 'fabric (Saturdays)']]","['2019/12/uk-1207-1316113-1510726-front.jpg', '2019/12/uk-1207-1316113-1510726-back.jpg']","[['rprsoundsystem', 'RPR Soundsystem'], ['rhadoo', 'Rhadoo'], ['petreinspirescu', 'Petre Inspirescu'], ['raresh', 'Raresh'], ['maayannidam', 'Maayan Nidam'], ['cosmintrg', 'Cosmin TRG'], ['terryfrancis', 'Terry Francis']]",False,767
1335046.0,23:00,06:00,,19+,"[['967', 'fabric'], ['76188', 'Forms']]","['2019/12/uk-1206-1335046-front.jpg', '2019/12/uk-1206-1335046-back.jpg']","[['toddedwards', 'Todd Edwards'], ['rivastarr', 'Riva Starr'], ['elliecocks', 'Ellie Cocks'], ['maxdean-uk', 'Max Dean']]",False,343
1315884.0,23:00,07:00,,19+,"[['967', 'fabric'], ['73867', 'fabric (Saturdays)']]","['2019/11/uk-1130-1315884-1548195-front.jpg', '2019/11/uk-1130-1315884-1548195-back.jpg']","[['amelielens', 'Amelie Lens'], ['setaocmass', 'Setaoc Mass'], ['airod', 'Airod'], ['perc', 'Perc'], ['vaticanshadow', 'Vatican Shadow'], ['imogen', 'IMOGEN']]",False,1173
1281396.0,23:00,06:00,,19+,"[['967', 'fabric'], ['28605', 'JR Events'], ['68697', 'FABRICLIVE']]","['2019/11/uk-1129-1281396-1527425-front.jpg', '2019/11/uk-1129-1281396-1527425-back.jpg']","[['spectrasoul', 'SpectraSoul'], ['breakage', 'Breakage'], ['technimatic-uk', 'Technimatic'], ['icicle', 'Icicle'], ['edit-de', 'Ed:it'], ['glxy', 'GLXY'], ['lowqui', 'LowQui'], ['visionobi', 'Visionobi'], ['phace', 'Phace'], ['misanthrop', 'Misanthrop'], ['halogenix', 'Halogenix'], ['lxone', 'LX one'], ['djpatife', 'DJ Patife']]",False,672
1316112.0,23:00,06:00,,19+,"[['967', 'fabric'], ['73867', 'fabric (Saturdays)']]","['2019/11/uk-1123-1316112-1506434-front.jpg', '2019/11/uk-1123-1316112-1506434-back.jpg']","[['craigrichards', 'Craig Richards'], ['francescodelgarda', 'Francesco Del Garda'], ['omar-uy', 'OMAR (UY)'], ['harrymccanna', 'Harry McCanna']]",False,367
