id,date,attending,name,img,club_id
1311874.0,2019-10-11,12,"Hidden with Magic Mountain High, DJ Fettburger, Orpheu The Wizard",2019/10/uk-1011-1311874-list.jpg,81697.0
1313484.0,2019-10-04,37,IDWT with Chaos In The CBD & Jon Sable,2019/10/uk-1004-1313484-list.jpg,81697.0
1310903.0,2019-09-28,4,"Me Gusta presents: DJ Firmeza, DJ Danifox (Príncipe)",2019/9/uk-0928-1310903-list.jpg,81697.0
1311872.0,2019-09-21,10,Hidden with Sadar Bahar,2019/9/uk-0921-1311872-list.jpg,81697.0
1325044.0,2019-09-21,0,"24hr Garage Girls ft Shosh, Lady Ice & Sicaria Sound",2019/9/uk-0921-1325044-list.jpg,81697.0
1281196.0,2019-09-20,158,Teletech presents: O'Flynn - Aletheia Album Tour,2019/9/uk-0920-1281196-list.jpg,81697.0
1294798.0,2019-09-20,14,Derton with Quest (YAY),2019/9/uk-0920-1294798-list.jpg,81697.0
1317442.0,2019-09-19,0,Element Opening Party,2019/9/uk-0919-1317442-list.jpg,81697.0
1304167.0,2019-09-18,34,Phonix & BlackBox present: Marquis Hawkes & Youandewan,2019/9/uk-0918-1304167-list.jpg,81697.0
1281804.0,2019-09-16,52,"HIT & RUN with SpectraSoul, Channel One, Unglued, Ternion Sound & Khiva",2019/9/uk-0916-1281804-list.jpg,81697.0
1315451.0,2019-09-14,4,You&Me's 4th Birthday present Valentino Kanzyani,dj/valentinokanzyani-list.jpg,81697.0
1223068.0,2019-08-25,38,Hidden Courtyard Day & Night Pt 3,2019/8/uk-0825-1223068-list.jpg,81697.0
1249753.0,2019-08-24,17,Homoelectric,2019/8/uk-0824-1249753-list.jpg,81697.0
1289978.0,2019-07-20,10,Zutekh Loft Party with Bradley Zero,dj/bradleyzero-list.jpg,81697.0
1288429.0,2019-07-13,1,All Day Open Air Summer Loft Party - Love Dose Records,2019/7/uk-0713-1288429-list.jpg,81697.0
1282838.0,2019-07-06,3,"Pooku Loft Party with Gescu, Zweizig [LIVE]",dj/gescu-list.jpg,81697.0
1264236.0,2019-06-05,39,"Hit & Run with Mala, Mungo's Hi-Fi, Lenzman More",2019/6/uk-0605-1264236-list.jpg,81697.0
1252022.0,2019-05-31,34,DJ Seinfeld (All Night Long),2019/5/uk-0531-1252022-list.jpg,81697.0
1223064.0,2019-05-26,42,Hidden Courtyard Day & Night Pt 2,2019/5/uk-0526-1223064-list.jpg,81697.0
1248505.0,2019-05-25,4,Homoelectric,2019/5/uk-0525-1248505-list.jpg,81697.0
1252017.0,2019-05-24,31,WHP + Zutekh presents Marcel Dettmann,2019/5/uk-0524-1252017-list.jpg,81697.0
1238619.0,2019-05-18,8,Hidden x Lo-Fi with Detroit In Effect,2019/5/uk-0518-1238619-list.jpg,81697.0
1223058.0,2019-05-05,31,Hidden Courtyard Day & Night Pt 1,2019/5/uk-0505-1223058-list.jpg,81697.0
1232663.0,2019-05-04,159,"Goodness: Pangaea, Mama Snake, Izzy Bolt",2019/5/uk-0504-1232663-list.jpg,81697.0
1231565.0,2019-04-19,8,Hidden x Pooku with Ion Ludwig,2019/4/uk-0419-1231565-list.jpg,81697.0
1238455.0,2019-04-18,34,Love Dose with Baba Stiltz (Studio Barnhus),2019/4/uk-0418-1238455-list.jpg,81697.0
1234247.0,2019-04-05,13,You&me present Archie Hamilton,2019/4/uk-0405-1234247-list.jpg,81697.0
1227049.0,2019-03-30,2,Homoelectric,2019/3/uk-0330-1227049-list.jpg,81697.0
1232098.0,2019-03-29,9,Ossia X Hidden,2019/3/uk-0329-1232098-list.jpg,81697.0
1223707.0,2019-03-23,35,Channels & Variation present: Overmono & re:ni,2019/3/uk-0323-1223707-list.jpg,81697.0
1215677.0,2019-03-22,85,"Cooking with Palms Trax Feat. Sassy J, PLO Man & High Hoops",2019/3/uk-0322-1215677-list.jpg,81697.0
1203838.0,2019-03-22,37,Rhythm Theory: STERAC,dj/rhythmtheory-list.jpg,81697.0
1201976.0,2019-03-21,27,Cirque Du Soul: Manchester // The Road To El Dorado,2019/3/uk-0321-1201976-list.jpg,81697.0
1217516.0,2019-03-16,94,Zutekh presents Midland (All Night Long),2019/3/uk-0316-1217516-list.jpg,81697.0
1231125.0,2019-03-09,32,Hit & Run 12th Birthday with Calibre & SDC,2019/3/uk-0309-1231125-list.jpg,81697.0
1209015.0,2019-03-08,23,Hidden with Todd Terje,2019/3/uk-0308-1209015-list.jpg,81697.0
1213797.0,2019-03-02,61,Interkom 0.3: Clouds,2019/3/uk-0302-1213797-list.jpg,81697.0
1211042.0,2019-03-01,44,Hidden x Lo-Fi with Blawan,2019/3/uk-0301-1211042-list.jpg,81697.0
1210283.0,2019-03-01,17,You&me present Traumer,dj/traumer-list.jpg,81697.0
1212775.0,2019-02-23,181,"Teletech presents: DMX Krew (Live), Radioactive Man and Blasha & Allatt",2019/2/uk-0223-1212775-list.jpg,81697.0
1214119.0,2019-02-22,36,Love Dose Records - Green Room Launch,2019/2/uk-0222-1214119-list.jpg,81697.0
1206475.0,2019-02-16,8,Lovedub. Off Beat x Boom Sound: Mala & Loefah,2019/2/uk-0216-1206475-list.jpg,81697.0
1200135.0,2019-02-15,144,"Pretty Pretty Good x Dimensions Festival: Roman Flügel, Saoirse b2b Willow, Phoebe Valentine",2019/2/uk-0215-1200135-list.jpg,81697.0
