id,start_time,end_time,cost,age,promoters,flyers,artists,pick,attending
536748.0,23:00,08:00,,,"[['967', 'fabric']]",['2013/12/uk-1228-536748-256231-front.jpg'],"[['adambeyer', 'Adam Beyer'], ['alanfitzpatrick', 'Alan Fitzpatrick'], ['saytek', 'Saytek'], ['markgwinnett', 'Mark Gwinnett'], ['deanoloco', 'Deanoloco'], ['mikehealey', 'Mike Healey']]",False,189
508011.0,22:00,06:00,,,"[['967', 'fabric']]",['2013/12/uk-1227-508011-244239-front.jpg'],"[['djhype', 'DJ Hype'], ['drumsoundbasslinesmith', 'Drumsound & Bassline Smith'], ['taxman', 'Taxman'], ['originalsin', 'Original Sin'], ['subzero', 'Sub Zero'], ['ic3', 'IC3'], ['ronisize', 'Roni Size'], ['mistajam', 'MistaJam'], ['hatcha', 'Hatcha'], ['northbase', 'North Base'], ['tyke', 'Tyke'], ['marcusintalex', 'Marcus Intalex'], ['docscott', 'Doc Scott'], ['ulteriormotive', 'Ulterior Motive'], ['foreignconcept', 'Foreign Concept']]",False,41
536742.0,23:00,08:00,,,"[['967', 'fabric']]",[],"[['craigrichards', 'Craig Richards'], ['digweed', 'John Digweed'], ['minilogue', 'Minilogue'], ['marceldettmann', 'Marcel Dettmann'], ['answercoderequest', 'Answer Code Request'], ['kobosil', 'Kobosil'], ['terryfrancis', 'Terry Francis'], ['eddierichards', 'Eddie Richards'], ['resetrobot', 'Reset Robot']]",False,175
536716.0,22:00,06:00,,,"[['967', 'fabric']]",['2013/12/uk-1220-536716-243038-front.jpg'],"[['redlight', 'Redlight'], ['happa', 'Happa'], ['scratchadva', 'Scratcha DVA'], ['makpasteman', 'Mak & Pasteman'], ['tcts', 'TCTS'], ['kloseone', 'Klose One'], ['dubphizix', 'Dub Phizix'], ['theupbeats', 'The Upbeats'], ['icicle', 'Icicle'], ['sambinga', 'Sam Binga']]",False,37
536737.0,23:00,08:00,,,"[['967', 'fabric']]",['2013/12/uk-1214-536737-249837-front.jpg'],"[['craigrichards', 'Craig Richards'], ['artdepartment', 'Art Department'], ['denizkurtel', 'Deniz Kurtel'], ['benklock', 'Ben Klock'], ['roberthood', 'Robert Hood'], ['terryfrancis', 'Terry Francis'], ['francisharris', 'Francis Harris'], ['djsprinkles', 'DJ Sprinkles'], ['voigtmann', 'Voigtmann']]",False,267
534188.0,22:00,06:00,,,"[['967', 'fabric']]",['2013/12/uk-1213-534188-243036-front.jpg'],"[['andyc', 'Andy C'], ['calyxteebee-uk', 'Calyx & Teebee'], ['loadstar', 'Loadstar'], ['goldie', 'Goldie'], ['deltaheavy', 'Delta Heavy'], ['frankee', 'Frankee'], ['ic3', 'IC3'], ['2shy', '2SHY'], ['visionobi', 'Visionobi'], ['cutline', 'Cutline'], ['northbase', 'North Base'], ['junemiller', 'June Miller'], ['dcbreaks', 'DC Breaks'], ['cultureshock', 'Culture Shock'], ['lenzman', 'Lenzman'], ['xtrah', 'Xtrah'], ['chroma', 'Chroma']]",False,33
529104.0,23:00,08:00,,,"[['967', 'fabric']]",['2013/12/uk-1207-529104-254412-front.jpg'],"[['rprsoundsystem', 'RPR Soundsystem'], ['rhadoo', 'Rhadoo'], ['petreinspirescu', 'Petre Inspirescu'], ['raresh', 'Raresh'], ['vakula', 'Vakula'], ['kinknevillewatson', 'KiNK & Neville Watson'], ['linkwood', 'Linkwood'], ['kimannfoxman', 'Kim Ann Foxman']]",False,171
508009.0,22:00,07:00,,,"[['967', 'fabric'], ['20062', 'Hessle Audio']]",['2013/12/uk-1206-508009-243033-front.jpg'],"[['pearsonsound', 'Pearson Sound'], ['benufo', 'Ben UFO'], ['anthonyshakir', ""Anthony 'Shake' Shakir""], ['fiedel', 'Fiedel'], ['bake', 'Bake'], ['pangaea', 'Pangaea'], ['blawan', 'Blawan'], ['frak', 'Frak'], ['objekt', 'Objekt'], ['djtlr', 'DJ TLR'], ['benufo', 'Ben UFO'], ['joe', 'Joe'], ['mrwood', 'Mr Wood']]",False,244
529077.0,23:00,02:00,,,"[['967', 'fabric']]",['2013/11/uk-1130-529077-248574-front.jpg'],"[['craigrichards', 'Craig Richards'], ['guti', 'Guti'], ['laurajones', 'Laura Jones'], ['marinocanal', 'Marino Canal'], ['ronmorelli', 'Ron Morelli'], ['legowelt', 'Legowelt'], ['marcoscabral', 'Marcos Cabral'], ['svengalisghost', 'Svengalisghost'], ['terryfrancis', 'Terry Francis'], ['brettjohnson', 'Brett Johnson']]",False,64
508008.0,22:00,06:00,,,"[['967', 'fabric']]",['2013/11/uk-1129-508008-241956-front.jpg'],"[['djhype', 'DJ Hype'], ['originalsin', 'Original Sin'], ['taxman', 'Taxman'], ['crissycriss', 'Crissy Criss'], ['potentialbadboy', 'Potential Badboy'], ['2shy', '2SHY'], ['ic3', 'IC3'], ['funsta', 'Funsta'], ['ltjbukem', 'LTJ Bukem'], ['rowpieces', 'Rowpieces'], ['distance', 'Distance'], ['jkenzo', 'J:Kenzo'], ['tunnidge', 'Tunnidge']]",False,52
529071.0,23:00,08:00,,,"[['967', 'fabric']]",['2013/11/uk-1123-529071-240909-front.jpg'],"[['deetron', 'Deetron'], ['deetron', 'Deetron'], ['craigrichards', 'Craig Richards'], ['terryfrancis', 'Terry Francis'], ['justinmartin', 'Justin Martin'], ['eatseverything', 'Eats Everything'], ['steveosullivan', ""Steve O'Sullivan""], ['leif', 'Leif'], ['blm', 'BLM'], ['matthewburton', 'Matthew Burton']]",False,147
508006.0,22:00,07:00,,,"[['967', 'fabric']]",['2013/11/uk-1122-508006-225195-front.jpg'],"[['dusky', 'Dusky'], ['huxley', 'Huxley'], ['paulwoolford', 'Paul Woolford'], ['southlondonordnance', 'South London Ordnance'], ['roska', 'Roska'], ['roska', 'Roska'], ['djez', 'DJ EZ'], ['woz', 'Woz'], ['funkystepz', 'Funkystepz'], ['queenie', 'Queenie'], ['boxwork', 'Boxwork']]",False,169
